text_except,data_except,bss_except,dec_except,hex_except,filename_except,text_result,data_result,bss_result,dec_result,hex_result,filename_result
52616,208,2880,55704,d998,except_127.elf,109240,192,1312,110744,1b098,result_127.elf
87792,208,3144,91144,16408,except_128.elf,135864,192,1568,137624,21998,result_128.elf
22464,208,2792,25464,6378,except_129.elf,24680,192,1224,26096,65f0,result_129.elf
58720,208,2792,61720,f118,except_130.elf,94304,192,1224,95720,175e8,result_130.elf
80856,208,3104,84168,148c8,except_131.elf,163584,192,1536,165312,285c0,result_131.elf
99096,208,3208,102512,19070,except_132.elf,152800,192,1640,154632,25c08,result_132.elf
119656,208,3624,123488,1e260,except_133.elf,191976,192,2048,194216,2f6a8,result_133.elf
42640,208,2912,45760,b2c0,except_134.elf,70688,192,1336,72216,11a18,result_134.elf
145520,208,3664,149392,24790,except_135.elf,302768,192,2096,305056,4a7a0,result_135.elf
82640,208,3080,85928,14fa8,except_136.elf,165568,192,1512,167272,28d68,result_136.elf
11568,208,2640,14416,3850,except_137.elf,4128,192,1064,5384,1508,result_137.elf
10568,208,2624,13400,3458,except_138.elf,1712,192,1056,2960,b90,result_138.elf
55680,208,3056,58944,e640,except_139.elf,92384,192,1488,94064,16f70,result_139.elf
211584,208,3944,215736,34ab8,except_140.elf,544512,192,2376,547080,85908,result_140.elf
131288,208,4200,135696,21210,except_141.elf,204184,192,2624,207000,32898,result_141.elf
15024,208,2784,18016,4660,except_142.elf,6968,192,1208,8368,20b0,result_142.elf
96920,208,3080,100208,18770,except_143.elf,167672,192,1512,169376,295a0,result_143.elf
108032,208,3440,111680,1b440,except_144.elf,195728,192,1872,197792,304a0,result_144.elf
788,192,1492,2472,9a8,except_145.elf,856,192,1088,2136,858,result_145.elf
65000,208,2992,68200,10a68,except_146.elf,122704,192,1424,124320,1e5a0,result_146.elf
13128,208,2608,15944,3e48,except_147.elf,5368,192,1040,6600,19c8,result_147.elf
86872,208,3008,90088,15fe8,except_148.elf,132584,192,1440,134216,20c48,result_148.elf
41744,208,2744,44696,ae98,except_149.elf,57048,192,1176,58416,e430,result_149.elf

